STOCK,14-07-18,15-07-18,16-07-18,17-07-18,18-07-18,19-07-18,20-07-18,21-07-18,22-07-18,23-07-18,24-07-18,30-07-18,31-07-18
IBM,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0
HMNY,3.0,0.0,1.0,6.0,2.0,5.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0
RH,2.0,1.0,4.0,9.0,5.0,15.0,15.0,13.0,0.0,21.0,38.0,10.0,6.0
RGR,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSFT,1.0,3.0,1.0,5.0,12.0,19.0,8.0,1.0,15.0,11.0,19.0,7.0,0.0
G,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0
DIS,1.0,0.0,1.0,2.0,1.0,8.0,0.0,0.0,6.0,1.0,8.0,0.0,0.0
GERN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELY,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARNC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENTG,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
VUZI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TA,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
AA,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MU,8.0,1.0,1.0,2.0,3.0,1.0,4.0,2.0,6.0,36.0,129.0,7.0,6.0
PEGI,6.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BZUN,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
FB,1.0,0.0,1.0,5.0,1.0,13.0,3.0,0.0,11.0,57.0,94.0,18.0,1.0
CXE,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHOP,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,9.0,1.0
ABBV,1.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0
RETA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TSLA,2.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,2.0,16.0,6.0,2.0
GPS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
MTCH,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0
SPY,2.0,1.0,2.0,13.0,3.0,0.0,6.0,4.0,1.0,11.0,25.0,4.0,0.0
IQ,6.0,5.0,4.0,6.0,4.0,14.0,1.0,2.0,1.0,7.0,21.0,4.0,13.0
ASML,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
